,importance
range_ThermalConductivity,0.6418486
range_atomic_radius,0.14473255
wtd_std_ElectronAffinity,0.021858905
wtd_std_ThermalConductivity,0.020847997
wtd_gmean_ThermalConductivity,0.01859878
wtd_mean_ThermalConductivity,0.01718199
wtd_mean_Valence,0.012941024
gmean_ElectronAffinity,0.012592557
std_atomic_mass,0.012071005
gmean_Density,0.01112842
wtd_gmean_Valence,0.009431067
std_Density,0.008796321
mean_Density,0.007992305
wtd_entropy_ThermalConductivity,0.007682962
entropy_Density,0.0075913854
std_atomic_radius,0.006850634
wtd_std_Valence,0.0064456556
wtd_mean_atomic_mass,0.0059418343
wtd_gmean_ElectronAffinity,0.0053679263
wtd_entropy_atomic_mass,0.0047422857
wtd_range_atomic_mass,0.0044441833
wtd_std_atomic_radius,0.0039927373
wtd_range_fie,0.0039121285
wtd_entropy_FusionHeat,0.003006617
